fecha_extraccion;comuna;tipo_propiedad;titulo;precio;moneda;dormitorios;banos;metros_utiles;caracteristicas_raw;ubicacion;url;latitud;longitud;direccion_geocoded
2025-11-29 17:05:26;Estación Central;departamento;Edificio Ecuador - Norte Verde;2405;CLF;Estudio a 2 dormitorios;1 baño;22 - 42 m² útiles;Estudio a 2 dormitorios | 1 baño | 22 - 42 m² útiles;Coronel Godoy 0157, Estación Central, San Alberto Hurtado, Estación Central;;-33.45533981061462;-70.69316768265847;Coronel Godoy 0157, Estación Central, Santiago, Chile
2025-11-29 17:05:26;Estación Central;departamento;Edificio Ecuador;1975;CLF;Estudio a 2 dormitorios;1 baño;22 - 42 m² útiles;Estudio a 2 dormitorios | 1 baño | 22 - 42 m² útiles;Coronel Godoy 0157, Estación Central, San Alberto Hurtado, Estación Central;;-33.45533981061462;-70.69316768265847;Coronel Godoy 0157, Estación Central, Santiago, Chile
2025-11-29 17:05:26;Estación Central;departamento;Edificio Coronel Souper;1880;CLF;1 dormitorio;1 baño;32 m² útiles;1 dormitorio | 1 baño | 32 m² útiles;Coronel Souper 4438, San Alberto Hurtado, Estación Central;;-33.458517900000004;-70.69543448538855;Coronel Souper 4438, Estación Central, Santiago, Chile
2025-11-29 17:05:26;Estación Central;departamento;Conde Del Maule 4236;1790;CLF;1 a 2 dormitorios;1 a 2 baños;33 - 57 m² útiles;1 a 2 dormitorios | 1 a 2 baños | 33 - 57 m² útiles;Conde Del Maule 4236, San Alberto Hurtado, Estación Central;;-33.453636;-70.69463650338187;Conde Del Maule 4236, Estación Central, Santiago, Chile
2025-11-29 17:05:26;Estación Central;departamento;Edificio Amengual;3422;CLF;2 dormitorios;2 baños;48 - 57 m² útiles;2 dormitorios | 2 baños | 48 - 57 m² útiles;Cnel. Souper 4515, Metro Ecuador, Estación Central;;-33.45840905;-70.69699099182506;Cnel. Souper 4515, Estación Central, Santiago, Chile
2025-11-29 17:05:26;Estación Central;departamento;Barrio Parque Santiago;2368;CLF;2 a 3 dormitorios;1 a 2 baños;40 - 54 m² útiles;2 a 3 dormitorios | 1 a 2 baños | 40 - 54 m² útiles;Los Gladiolos 4799, Santiago, Estación Central, Chile, Metro Ecuador, Estación Central;;-33.4489016;-70.68162370843888;Los Gladiolos 4799, Estación Central, Santiago, Chile
2025-11-29 17:05:26;Estación Central;departamento;Edificio Toro Mazote;2100;CLF;1 a 2 dormitorios;1 a 2 baños;30 - 43 m² útiles;1 a 2 dormitorios | 1 a 2 baños | 30 - 43 m² útiles;Toro Mazote 150, San Alberto Hurtado, Estación Central;;-33.45656045;-70.69108355282131;Toro Mazote 150, Estación Central, Santiago, Chile
2025-11-29 17:05:26;Estación Central;departamento;Edificio Caiquén;1450;CLF;1 a 2 dormitorios;1 a 2 baños;24 - 47 m² útiles;1 a 2 dormitorios | 1 a 2 baños | 24 - 47 m² útiles;María Rozas Velásquez 45, Metro Las Rejas, Estación Central;;-33.46296405901639;-70.69750418360657;María Rozas Velásquez 45, Estación Central, Santiago, Chile
2025-11-29 17:05:26;Estación Central;departamento;Eco Estación;1761;CLF;Estudio a 2 dormitorios;1 a 2 baños;28 - 50 m² útiles;Estudio a 2 dormitorios | 1 a 2 baños | 28 - 50 m² útiles;Placilla 65, Santiago, Estación Central, San Alberto Hurtado, Estación Central;;-33.45601105;-70.69454646230245;Placilla 65, Estación Central, Santiago, Chile
2025-11-29 17:05:26;Estación Central;departamento;Ciudadano Pezoa;2219;CLF;Estudio a 2 dormitorios;1 a 2 baños;23 - 48 m² útiles;Estudio a 2 dormitorios | 1 a 2 baños | 23 - 48 m² útiles;Carlos Pezoa Véliz 190, Estación Central, Metro Las Rejas, Estación Central;;-33.45575955203821;-70.70305514685388;Carlos Pezoa Véliz 190, Estación Central, Santiago, Chile
